Play #,State,Action,Reward,Next State,Terminated
1,"(array([-0.5748209,  0.       ], dtype=float32), {})",1,-1.0,[-5.744382e-01  3.826555e-04],0
1,[-5.744382e-01  3.826555e-04],1,-1.0,[-0.57367575  0.00076247],0
1,[-0.57367575  0.00076247],1,-1.0,[-0.5725391   0.00113664],0
1,[-0.5725391   0.00113664],1,-1.0,[-0.5710367   0.00150238],0
1,[-0.5710367   0.00150238],1,-1.0,[-0.5691798   0.00185696],0
1,[-0.5691798   0.00185696],1,-1.0,[-0.566982    0.00219775],0
1,[-0.566982    0.00219775],1,-1.0,[-0.5644598   0.00252221],0
1,[-0.5644598   0.00252221],1,-1.0,[-0.5616319  0.0028279],0
1,[-0.5616319  0.0028279],1,-1.0,[-0.55851936  0.00311253],0
1,[-0.55851936  0.00311253],1,-1.0,[-0.5551454   0.00337396],0
1,[-0.5551454   0.00337396],1,-1.0,[-0.5515352  0.0036102],0
1,[-0.5515352  0.0036102],1,-1.0,[-0.5477157   0.00381948],0
1,[-0.5477157   0.00381948],1,-1.0,[-0.54371554  0.0040002 ],0
1,[-0.54371554  0.0040002 ],1,-1.0,[-0.53956455  0.00415098],0
1,[-0.53956455  0.00415098],1,-1.0,[-0.5352939   0.00427068],0
1,[-0.5352939   0.00427068],1,-1.0,[-0.53093547  0.00435838],0
1,[-0.53093547  0.00435838],1,-1.0,[-0.5265221  0.0044134],0
1,[-0.5265221  0.0044134],1,-1.0,[-0.52208674  0.00443532],0
1,[-0.52208674  0.00443532],1,-1.0,[-0.51766276  0.00442398],0
1,[-0.51766276  0.00442398],1,-1.0,[-0.5132833   0.00437946],0
1,[-0.5132833   0.00437946],1,-1.0,[-0.5089812   0.00430211],0
1,[-0.5089812   0.00430211],1,-1.0,[-0.5047887   0.00419251],0
1,[-0.5047887   0.00419251],1,-1.0,[-0.5007372   0.00405151],0
1,[-0.5007372   0.00405151],1,-1.0,[-0.496857    0.00388019],0
1,[-0.496857    0.00388019],2,-1.0,[-0.49217716  0.00467984],0
1,[-0.49217716  0.00467984],2,-1.0,[-0.48673263  0.00544452],0
1,[-0.48673263  0.00544452],2,-1.0,[-0.48056403  0.00616859],0
1,[-0.48056403  0.00616859],2,-1.0,[-0.4737173   0.00684673],0
1,[-0.4737173   0.00684673],2,-1.0,[-0.4662433   0.00747401],0
1,[-0.4662433   0.00747401],2,-1.0,[-0.45819733  0.00804596],0
1,[-0.45819733  0.00804596],2,-1.0,[-0.44963875  0.00855859],0
1,[-0.44963875  0.00855859],2,-1.0,[-0.44063032  0.00900843],0
1,[-0.44063032  0.00900843],2,-1.0,[-0.43123773  0.00939258],0
1,[-0.43123773  0.00939258],2,-1.0,[-0.42152902  0.0097087 ],0
1,[-0.42152902  0.0097087 ],2,-1.0,[-0.41157395  0.00995508],0
1,[-0.41157395  0.00995508],2,-1.0,[-0.40144333  0.01013062],0
1,[-0.40144333  0.01013062],2,-1.0,[-0.3912085   0.01023483],0
1,[-0.3912085   0.01023483],2,-1.0,[-0.3809407  0.0102678],0
1,[-0.3809407  0.0102678],2,-1.0,[-0.3707105   0.01023023],0
1,[-0.3707105   0.01023023],2,-1.0,[-0.36058712  0.01012335],0
1,[-0.36058712  0.01012335],2,-1.0,[-0.3506382   0.00994891],0
1,[-0.3506382   0.00994891],2,-1.0,[-0.3409291   0.00970914],0
1,[-0.3409291   0.00970914],2,-1.0,[-0.3315224   0.00940667],0
1,[-0.3315224   0.00940667],2,-1.0,[-0.3224779  0.0090445],0
1,[-0.3224779  0.0090445],2,-1.0,[-0.31385195  0.00862597],0
1,[-0.31385195  0.00862597],2,-1.0,[-0.3056973   0.00815464],0
1,[-0.3056973   0.00815464],2,-1.0,[-0.29806298  0.00763431],0
1,[-0.29806298  0.00763431],2,-1.0,[-0.29099405  0.00706893],0
1,[-0.29099405  0.00706893],1,-1.0,[-0.2855315   0.00546257],0
1,[-0.2855315   0.00546257],1,-1.0,[-0.28170645  0.00382504],0
1,[-0.28170645  0.00382504],1,-1.0,[-0.2795405   0.00216593],0
1,[-0.2795405   0.00216593],1,-1.0,[-0.27904582  0.00049471],0
1,[-0.27904582  0.00049471],0,-1.0,[-0.2812251  -0.00217927],0
1,[-0.2812251  -0.00217927],0,-1.0,[-0.28606614 -0.00484107],0
1,[-0.28606614 -0.00484107],0,-1.0,[-0.29354173 -0.00747558],0
1,[-0.29354173 -0.00747558],0,-1.0,[-0.30360898 -0.01006725],0
1,[-0.30360898 -0.01006725],0,-1.0,[-0.31620896 -0.01259998],0
1,[-0.31620896 -0.01259998],0,-1.0,[-0.33126596 -0.01505698],0
1,[-0.33126596 -0.01505698],0,-1.0,[-0.3486867  -0.01742076],0
1,[-0.3486867  -0.01742076],0,-1.0,[-0.36835992 -0.01967322],0
1,[-0.36835992 -0.01967322],0,-1.0,[-0.3901558  -0.02179588],0
1,[-0.3901558  -0.02179588],0,-1.0,[-0.41392598 -0.02377018],0
1,[-0.41392598 -0.02377018],0,-1.0,[-0.43950394 -0.02557797],0
1,[-0.43950394 -0.02557797],0,-1.0,[-0.46670595 -0.02720201],0
1,[-0.46670595 -0.02720201],0,-1.0,[-0.4953326  -0.02862664],0
1,[-0.4953326  -0.02862664],0,-1.0,[-0.525171   -0.02983838],0
1,[-0.525171   -0.02983838],0,-1.0,[-0.55599755 -0.03082659],0
1,[-0.55599755 -0.03082659],0,-1.0,[-0.5875815  -0.03158398],0
1,[-0.5875815  -0.03158398],0,-1.0,[-0.6196886  -0.03210705],0
1,[-0.6196886  -0.03210705],0,-1.0,[-0.6520849  -0.03239632],0
1,[-0.6520849  -0.03239632],0,-1.0,[-0.6845413  -0.03245636],0
1,[-0.6845413  -0.03245636],0,-1.0,[-0.7168369  -0.03229564],0
1,[-0.7168369  -0.03229564],0,-1.0,[-0.7487631  -0.03192618],0
1,[-0.7487631  -0.03192618],0,-1.0,[-0.78012604 -0.03136297],0
1,[-0.78012604 -0.03136297],0,-1.0,[-0.8107495  -0.03062339],0
1,[-0.8107495  -0.03062339],0,-1.0,[-0.84047586 -0.02972641],0
1,[-0.84047586 -0.02972641],0,-1.0,[-0.8691678  -0.02869196],0
1,[-0.8691678  -0.02869196],0,-1.0,[-0.89670795 -0.02754013],0
1,[-0.89670795 -0.02754013],0,-1.0,[-0.92299855 -0.02629061],0
1,[-0.92299855 -0.02629061],0,-1.0,[-0.9479607  -0.02496215],0
1,[-0.9479607  -0.02496215],0,-1.0,[-0.9715328  -0.02357212],0
1,[-0.9715328  -0.02357212],0,-1.0,[-0.9936691  -0.02213625],0
1,[-0.9936691  -0.02213625],0,-1.0,[-1.0143375  -0.02066842],0
1,[-1.0143375  -0.02066842],1,-1.0,[-1.032518   -0.01818055],0
1,[-1.032518   -0.01818055],1,-1.0,[-1.048201   -0.01568298],0
1,[-1.048201   -0.01568298],1,-1.0,[-1.061384   -0.01318299],0
1,[-1.061384   -0.01318299],1,-1.0,[-1.0720693  -0.01068525],0
1,[-1.0720693  -0.01068525],1,-1.0,[-1.0802615  -0.00819221],0
1,[-1.0802615  -0.00819221],2,-1.0,[-1.084966  -0.0047045],0
1,[-1.084966  -0.0047045],2,-1.0,[-1.0861865  -0.00122053],0
1,[-1.0861865  -0.00122053],2,-1.0,[-1.083924    0.00226239],0
1,[-1.083924    0.00226239],2,-1.0,[-1.0781769   0.00574723],0
1,[-1.0781769   0.00574723],2,-1.0,[-1.0689404   0.00923644],0
1,[-1.0689404   0.00923644],2,-1.0,[-1.0562093   0.01273112],0
1,[-1.0562093   0.01273112],2,-1.0,[-1.0399791   0.01623021],0
1,[-1.0399791   0.01623021],2,-1.0,[-1.0202495   0.01972963],0
1,[-1.0202495   0.01972963],2,-1.0,[-0.997028    0.02322146],0
1,[-0.997028    0.02322146],2,-1.0,[-0.9703348  0.0266932],0
1,[-0.9703348  0.0266932],2,-1.0,[-0.9402078   0.03012703],0
1,[-0.9402078   0.03012703],2,-1.0,[-0.9067084   0.03349935],0
1,[-0.9067084   0.03349935],2,-1.0,[-0.8699279   0.03678058],0
1,[-0.8699279   0.03678058],2,-1.0,[-0.82999253  0.03993531],0
1,[-0.82999253  0.03993531],2,-1.0,[-0.7870695   0.04292307],0
1,[-0.7870695   0.04292307],2,-1.0,[-0.74136984  0.04569967],0
1,[-0.74136984  0.04569967],2,-1.0,[-0.6931506   0.04821923],0
1,[-0.6931506   0.04821923],2,-1.0,[-0.64271384  0.05043674],0
1,[-0.64271384  0.05043674],2,-1.0,[-0.59040266  0.05231121],0
1,[-0.59040266  0.05231121],2,-1.0,[-0.53659374  0.05380889],0
1,[-0.53659374  0.05380889],2,-1.0,[-0.48168743  0.05490633],0
1,[-0.48168743  0.05490633],2,-1.0,[-0.42609462  0.05559282],0
1,[-0.42609462  0.05559282],2,-1.0,[-0.3702227   0.05587192],0
1,[-0.3702227   0.05587192],2,-1.0,[-0.31446093  0.05576177],0
1,[-0.31446093  0.05576177],2,-1.0,[-0.2591668   0.05529413],0
1,[-0.2591668   0.05529413],2,-1.0,[-0.20465434  0.05451246],0
1,[-0.20465434  0.05451246],2,-1.0,[-0.1511853   0.05346903],0
1,[-0.1511853   0.05346903],2,-1.0,[-0.09896351  0.05222179],0
1,[-0.09896351  0.05222179],2,-1.0,[-0.04813235  0.05083117],0
1,[-0.04813235  0.05083117],2,-1.0,[0.00122484 0.04935718],0
1,[0.00122484 0.04935718],2,-1.0,[0.04908204 0.0478572 ],0
1,[0.04908204 0.0478572 ],2,-1.0,[0.09546629 0.04638425],0
1,[0.09546629 0.04638425],2,-1.0,[0.14045238 0.04498608],0
